image_id,species,camera_id,datetime,bbox_x,bbox_y,bbox_w,bbox_h
GUYRA-SYN-000040,capybara,CAM-047,2024-09-22,1471,996,179,197
GUYRA-SYN-000041,tapir,CAM-014,2024-01-19,1506,124,482,260
GUYRA-SYN-000042,jaguar,CAM-004,2024-10-16,1029,322,129,360
GUYRA-SYN-000043,jaguar,CAM-012,2024-02-20,139,481,306,161
GUYRA-SYN-000044,anteater,CAM-016,2024-10-20,81,167,314,436
GUYRA-SYN-000045,anteater,CAM-037,2024-09-11,1914,534,204,442
GUYRA-SYN-000046,capybara,CAM-021,2024-04-09,810,268,443,430
GUYRA-SYN-000047,tapir,CAM-030,2024-06-25,1916,148,104,334
GUYRA-SYN-000048,anteater,CAM-037,2024-02-03,1101,436,359,235
GUYRA-SYN-000049,puma,CAM-023,2024-02-08,756,583,180,324
GUYRA-SYN-000050,anteater,CAM-046,2024-05-20,1652,16,441,383
GUYRA-SYN-000051,tapir,CAM-043,2024-02-05,541,236,154,480
GUYRA-SYN-000052,anteater,CAM-010,2024-05-10,1238,431,467,275
GUYRA-SYN-000053,puma,CAM-044,2024-11-28,540,1035,350,228
GUYRA-SYN-000054,jaguar,CAM-006,2024-11-14,1698,566,122,101
GUYRA-SYN-000055,tapir,CAM-050,2024-03-21,536,330,479,326
GUYRA-SYN-000056,anteater,CAM-046,2024-07-18,19,229,138,453
GUYRA-SYN-000057,puma,CAM-035,2024-01-27,756,303,320,165
GUYRA-SYN-000058,jaguar,CAM-020,2024-06-26,1762,81,283,207
GUYRA-SYN-000059,capybara,CAM-016,2024-11-04,724,832,417,483
GUYRA-SYN-000060,puma,CAM-016,2024-03-26,1660,362,311,112
GUYRA-SYN-000061,puma,CAM-048,2024-06-26,1906,843,442,476
GUYRA-SYN-000062,puma,CAM-018,2024-03-26,1436,221,295,119
GUYRA-SYN-000063,brocket_deer,CAM-015,2024-04-27,1880,942,279,256
GUYRA-SYN-000064,puma,CAM-015,2024-01-22,395,816,268,242
GUYRA-SYN-000065,jaguar,CAM-050,2024-05-12,1313,1043,304,447
GUYRA-SYN-000066,anteater,CAM-022,2024-01-04,1796,534,191,397
GUYRA-SYN-000067,tapir,CAM-003,2024-02-20,889,707,473,260
GUYRA-SYN-000068,brocket_deer,CAM-039,2024-09-04,788,389,230,122
GUYRA-SYN-000069,capybara,CAM-028,2024-01-17,1895,403,286,320
GUYRA-SYN-000070,jaguar,CAM-043,2024-06-20,642,255,468,253
GUYRA-SYN-000071,anteater,CAM-020,2024-11-14,668,824,456,251
GUYRA-SYN-000072,anteater,CAM-009,2024-04-14,1361,776,446,483
GUYRA-SYN-000073,puma,CAM-040,2024-10-10,831,0,255,246
GUYRA-SYN-000074,puma,CAM-028,2024-10-20,1340,659,338,326
GUYRA-SYN-000075,brocket_deer,CAM-044,2024-04-17,969,347,437,143
GUYRA-SYN-000076,tapir,CAM-033,2024-11-21,1268,686,147,484
GUYRA-SYN-000077,puma,CAM-044,2024-05-08,1651,407,175,112
GUYRA-SYN-000078,jaguar,CAM-016,2024-08-20,1740,149,333,312
GUYRA-SYN-000079,capybara,CAM-037,2024-04-23,1426,786,353,304
GUYRA-SYN-000080,puma,CAM-010,2024-11-23,11,218,498,317
GUYRA-SYN-000081,puma,CAM-012,2024-12-17,951,102,385,227
GUYRA-SYN-000082,jaguar,CAM-030,2024-03-26,951,649,486,326
GUYRA-SYN-000083,anteater,CAM-047,2024-09-14,1701,913,181,480
GUYRA-SYN-000084,brocket_deer,CAM-029,2024-05-25,506,567,492,498
GUYRA-SYN-000085,anteater,CAM-032,2024-11-08,562,900,139,465
GUYRA-SYN-000086,tapir,CAM-016,2024-05-11,654,165,170,177
GUYRA-SYN-000087,puma,CAM-025,2024-12-05,1446,438,132,312
GUYRA-SYN-000088,brocket_deer,CAM-022,2024-09-15,851,127,205,315
GUYRA-SYN-000089,brocket_deer,CAM-050,2024-10-23,40,779,344,103
GUYRA-SYN-000090,tapir,CAM-020,2024-07-28,1826,858,375,482
GUYRA-SYN-000091,capybara,CAM-035,2024-10-08,999,449,239,323
GUYRA-SYN-000092,brocket_deer,CAM-002,2024-07-11,1369,828,470,184
GUYRA-SYN-000093,brocket_deer,CAM-009,2024-10-18,55,806,403,388
GUYRA-SYN-000094,capybara,CAM-002,2024-02-21,877,277,336,193
GUYRA-SYN-000095,jaguar,CAM-017,2024-07-11,433,931,267,272
GUYRA-SYN-000096,brocket_deer,CAM-018,2024-07-09,1709,167,340,109
GUYRA-SYN-000097,capybara,CAM-035,2024-01-12,459,140,499,433
GUYRA-SYN-000098,jaguar,CAM-049,2024-01-08,408,41,418,178
GUYRA-SYN-000099,puma,CAM-009,2024-08-22,234,446,338,458
GUYRA-SYN-000100,tapir,CAM-050,2024-06-06,1240,234,498,183
GUYRA-SYN-000101,tapir,CAM-007,2024-10-01,1902,638,394,446
GUYRA-SYN-000102,brocket_deer,CAM-026,2024-12-07,155,497,152,456
GUYRA-SYN-000103,tapir,CAM-044,2024-10-26,247,84,277,372
GUYRA-SYN-000104,brocket_deer,CAM-043,2024-06-03,1036,698,106,315
GUYRA-SYN-000105,brocket_deer,CAM-007,2024-07-12,1301,941,462,178
GUYRA-SYN-000106,brocket_deer,CAM-012,2024-12-17,1332,553,415,375
GUYRA-SYN-000107,brocket_deer,CAM-030,2024-07-27,1497,549,265,225
GUYRA-SYN-000108,jaguar,CAM-018,2024-08-08,1536,951,391,412
GUYRA-SYN-000109,capybara,CAM-025,2024-06-01,1012,665,193,349
GUYRA-SYN-000110,puma,CAM-023,2024-05-11,572,565,384,105
GUYRA-SYN-000111,anteater,CAM-013,2024-02-08,1474,832,350,384
GUYRA-SYN-000112,puma,CAM-045,2024-08-21,1457,1005,329,108
GUYRA-SYN-000113,jaguar,CAM-019,2024-04-13,1416,498,256,439
GUYRA-SYN-000114,anteater,CAM-024,2024-08-18,1087,704,317,481
GUYRA-SYN-000115,anteater,CAM-022,2024-06-23,929,554,256,228
GUYRA-SYN-000116,puma,CAM-008,2024-12-07,646,244,480,374
GUYRA-SYN-000117,capybara,CAM-012,2024-04-07,1512,991,241,470
GUYRA-SYN-000118,anteater,CAM-049,2024-09-20,579,205,199,251
GUYRA-SYN-000119,puma,CAM-024,2024-03-10,28,259,240,123
GUYRA-SYN-000120,jaguar,CAM-036,2024-05-23,258,1005,152,106
GUYRA-SYN-000121,anteater,CAM-019,2024-08-16,902,697,194,126
GUYRA-SYN-000122,tapir,CAM-031,2024-02-27,133,820,351,137
GUYRA-SYN-000123,anteater,CAM-041,2024-11-02,310,305,388,255
GUYRA-SYN-000124,jaguar,CAM-016,2024-02-18,1565,852,410,405
GUYRA-SYN-000125,anteater,CAM-015,2024-09-13,922,906,252,401
GUYRA-SYN-000126,brocket_deer,CAM-020,2024-10-20,123,203,490,206
GUYRA-SYN-000127,capybara,CAM-014,2024-05-22,166,321,222,188
GUYRA-SYN-000128,anteater,CAM-005,2024-03-01,836,922,452,404
GUYRA-SYN-000129,brocket_deer,CAM-019,2024-01-08,590,579,459,332
GUYRA-SYN-000130,jaguar,CAM-044,2024-04-09,1613,405,317,158
GUYRA-SYN-000131,anteater,CAM-015,2024-11-05,1860,544,172,136
GUYRA-SYN-000132,jaguar,CAM-011,2024-05-20,1533,591,324,163
GUYRA-SYN-000133,brocket_deer,CAM-045,2024-05-23,824,557,356,376
GUYRA-SYN-000134,brocket_deer,CAM-029,2024-02-20,81,884,476,265
GUYRA-SYN-000135,anteater,CAM-017,2024-01-03,468,42,491,444
GUYRA-SYN-000136,tapir,CAM-037,2024-01-25,1548,358,340,365
GUYRA-SYN-000137,capybara,CAM-029,2024-05-06,1198,892,425,351
GUYRA-SYN-000138,jaguar,CAM-031,2024-06-14,682,657,443,153
GUYRA-SYN-000139,puma,CAM-022,2024-07-23,1014,590,439,305
GUYRA-SYN-000140,anteater,CAM-003,2024-08-03,644,516,265,159
GUYRA-SYN-000141,brocket_deer,CAM-033,2024-01-22,1780,946,311,127
GUYRA-SYN-000142,puma,CAM-034,2024-06-20,1549,1020,420,326
GUYRA-SYN-000143,jaguar,CAM-014,2024-05-18,268,589,324,457
GUYRA-SYN-000144,brocket_deer,CAM-008,2024-01-21,1246,490,463,181
GUYRA-SYN-000145,tapir,CAM-036,2024-01-18,835,190,215,158
GUYRA-SYN-000146,brocket_deer,CAM-008,2024-11-27,315,1020,466,249
GUYRA-SYN-000147,anteater,CAM-046,2024-05-14,1709,988,341,224
GUYRA-SYN-000148,brocket_deer,CAM-036,2024-03-13,390,1040,482,169
GUYRA-SYN-000149,jaguar,CAM-018,2024-07-11,1913,1039,236,101
GUYRA-SYN-000150,tapir,CAM-047,2024-05-27,1202,1002,176,328
GUYRA-SYN-000151,anteater,CAM-031,2024-06-11,1130,772,333,264
GUYRA-SYN-000152,puma,CAM-045,2024-04-19,784,478,497,310
GUYRA-SYN-000153,jaguar,CAM-021,2024-12-16,1444,780,297,439
GUYRA-SYN-000154,capybara,CAM-010,2024-08-02,258,1028,402,269
GUYRA-SYN-000155,jaguar,CAM-029,2024-02-17,1864,935,107,469
GUYRA-SYN-000156,puma,CAM-027,2024-11-05,153,961,500,235
GUYRA-SYN-000157,tapir,CAM-040,2024-12-13,1330,164,268,445
GUYRA-SYN-000158,anteater,CAM-025,2024-06-21,1471,999,377,118
GUYRA-SYN-000159,anteater,CAM-005,2024-04-21,1401,588,216,482
GUYRA-SYN-000160,jaguar,CAM-028,2024-02-25,1297,205,327,185
GUYRA-SYN-000161,capybara,CAM-020,2024-01-02,664,114,250,283
GUYRA-SYN-000162,tapir,CAM-028,2024-03-08,1087,843,389,449
GUYRA-SYN-000163,puma,CAM-011,2024-03-03,1248,783,417,449
GUYRA-SYN-000164,puma,CAM-032,2024-10-05,475,944,426,230
GUYRA-SYN-000165,brocket_deer,CAM-017,2024-11-01,1840,952,247,446
GUYRA-SYN-000166,anteater,CAM-011,2024-02-15,707,612,427,317
GUYRA-SYN-000167,capybara,CAM-017,2024-08-28,618,407,296,347
GUYRA-SYN-000168,jaguar,CAM-016,2024-07-19,735,605,458,251
GUYRA-SYN-000169,jaguar,CAM-043,2024-07-09,16,100,410,481
GUYRA-SYN-000170,brocket_deer,CAM-019,2024-04-20,1642,721,212,425
GUYRA-SYN-000171,puma,CAM-040,2024-05-22,1547,280,421,149
GUYRA-SYN-000172,capybara,CAM-042,2024-01-10,1615,902,117,396
GUYRA-SYN-000173,tapir,CAM-047,2024-03-03,1862,604,267,482
GUYRA-SYN-000174,brocket_deer,CAM-012,2024-04-05,1610,749,371,356
GUYRA-SYN-000175,tapir,CAM-011,2024-05-27,986,604,482,273
GUYRA-SYN-000176,jaguar,CAM-030,2024-02-05,1544,462,446,470
GUYRA-SYN-000177,capybara,CAM-026,2024-09-12,184,808,107,235
GUYRA-SYN-000178,anteater,CAM-008,2024-08-12,1377,536,399,295
GUYRA-SYN-000179,capybara,CAM-024,2024-02-22,478,965,112,417
GUYRA-SYN-000180,anteater,CAM-021,2024-10-08,1326,129,425,337
GUYRA-SYN-000181,capybara,CAM-020,2024-11-14,238,286,123,119
GUYRA-SYN-000182,tapir,CAM-032,2024-02-04,480,277,298,332
GUYRA-SYN-000183,tapir,CAM-043,2024-12-23,1106,858,400,480
GUYRA-SYN-000184,capybara,CAM-010,2024-07-21,202,1002,415,308
GUYRA-SYN-000185,tapir,CAM-003,2024-12-12,444,908,327,220
GUYRA-SYN-000186,tapir,CAM-007,2024-11-12,1115,734,131,303
GUYRA-SYN-000187,tapir,CAM-013,2024-02-28,1687,931,146,439
GUYRA-SYN-000188,puma,CAM-042,2024-11-20,43,103,270,224
GUYRA-SYN-000189,puma,CAM-037,2024-04-03,1699,424,400,210
GUYRA-SYN-000190,puma,CAM-022,2024-03-26,1844,5,241,174
GUYRA-SYN-000191,puma,CAM-035,2024-05-26,357,225,438,113
GUYRA-SYN-000192,puma,CAM-001,2024-06-26,1614,487,401,265
GUYRA-SYN-000193,jaguar,CAM-012,2024-05-02,259,862,369,158
GUYRA-SYN-000194,capybara,CAM-005,2024-08-15,1593,741,362,403
GUYRA-SYN-000195,jaguar,CAM-029,2024-09-08,1259,88,472,437
GUYRA-SYN-000196,anteater,CAM-020,2024-08-21,63,124,345,305
GUYRA-SYN-000197,brocket_deer,CAM-044,2024-02-16,1458,908,137,141
GUYRA-SYN-000198,tapir,CAM-039,2024-03-03,258,563,419,424
GUYRA-SYN-000199,anteater,CAM-036,2024-12-11,780,603,332,358
GUYRA-SYN-000200,anteater,CAM-028,2024-02-26,1437,234,435,433
GUYRA-SYN-000201,anteater,CAM-047,2024-04-14,924,467,311,273
GUYRA-SYN-000202,brocket_deer,CAM-026,2024-07-24,194,640,318,260
GUYRA-SYN-000203,capybara,CAM-017,2024-06-05,1406,971,134,146
GUYRA-SYN-000204,jaguar,CAM-006,2024-07-04,1524,763,166,384
GUYRA-SYN-000205,jaguar,CAM-038,2024-09-18,675,250,310,281
GUYRA-SYN-000206,capybara,CAM-049,2024-07-28,1875,105,247,407
GUYRA-SYN-000207,tapir,CAM-023,2024-02-19,1039,435,179,436
GUYRA-SYN-000208,brocket_deer,CAM-015,2024-02-12,1731,752,158,490
GUYRA-SYN-000209,tapir,CAM-037,2024-04-26,878,53,411,436
GUYRA-SYN-000210,capybara,CAM-018,2024-01-06,559,632,273,279
GUYRA-SYN-000211,jaguar,CAM-012,2024-03-19,1346,820,135,172
GUYRA-SYN-000212,capybara,CAM-041,2024-01-03,1528,440,292,314
GUYRA-SYN-000213,brocket_deer,CAM-022,2024-03-12,638,664,497,390
GUYRA-SYN-000214,anteater,CAM-006,2024-01-05,322,101,445,141
GUYRA-SYN-000215,tapir,CAM-029,2024-11-14,994,905,312,239
GUYRA-SYN-000216,puma,CAM-049,2024-09-04,706,880,156,245
GUYRA-SYN-000217,capybara,CAM-044,2024-10-16,1079,631,123,212
GUYRA-SYN-000218,brocket_deer,CAM-039,2024-01-01,418,617,208,492
GUYRA-SYN-000219,puma,CAM-049,2024-05-10,671,245,103,354
GUYRA-SYN-000220,capybara,CAM-028,2024-03-05,778,471,356,386
GUYRA-SYN-000221,capybara,CAM-023,2024-02-13,1764,86,323,109
GUYRA-SYN-000222,brocket_deer,CAM-005,2024-06-19,879,828,463,427
GUYRA-SYN-000223,brocket_deer,CAM-019,2024-02-13,42,665,187,416
GUYRA-SYN-000224,brocket_deer,CAM-045,2024-06-03,894,216,224,323
GUYRA-SYN-000225,anteater,CAM-026,2024-09-03,810,635,481,273
GUYRA-SYN-000226,puma,CAM-022,2024-03-03,1045,233,371,361
GUYRA-SYN-000227,puma,CAM-050,2024-06-12,1489,302,220,152
GUYRA-SYN-000228,puma,CAM-017,2024-04-06,1233,313,489,488
GUYRA-SYN-000229,capybara,CAM-005,2024-03-25,1286,1011,337,486
GUYRA-SYN-000230,anteater,CAM-049,2024-10-15,1394,661,421,261
GUYRA-SYN-000231,puma,CAM-029,2024-02-16,905,620,240,402
GUYRA-SYN-000232,jaguar,CAM-023,2024-09-03,635,945,331,119
GUYRA-SYN-000233,jaguar,CAM-024,2024-05-03,1320,184,414,404
GUYRA-SYN-000234,anteater,CAM-025,2024-08-19,1135,84,330,392
GUYRA-SYN-000235,capybara,CAM-013,2024-06-20,974,1026,177,131
GUYRA-SYN-000236,brocket_deer,CAM-007,2024-06-23,172,1033,430,188
GUYRA-SYN-000237,jaguar,CAM-016,2024-12-15,899,1073,367,412
GUYRA-SYN-000238,puma,CAM-024,2024-06-10,793,837,496,273
GUYRA-SYN-000239,capybara,CAM-039,2024-01-26,1292,685,133,268
GUYRA-SYN-000240,jaguar,CAM-036,2024-11-13,581,516,470,436
GUYRA-SYN-000241,anteater,CAM-010,2024-06-03,1193,289,279,258
GUYRA-SYN-000242,capybara,CAM-045,2024-11-13,264,173,258,386
GUYRA-SYN-000243,brocket_deer,CAM-042,2024-06-27,261,1078,147,430
GUYRA-SYN-000244,capybara,CAM-028,2024-09-12,37,742,258,192
GUYRA-SYN-000245,puma,CAM-022,2024-08-07,463,281,179,139
GUYRA-SYN-000246,tapir,CAM-007,2024-09-25,1105,1078,119,438
GUYRA-SYN-000247,tapir,CAM-050,2024-10-05,1223,771,178,183
GUYRA-SYN-000248,puma,CAM-045,2024-10-26,1848,339,469,324
GUYRA-SYN-000249,jaguar,CAM-027,2024-06-22,1473,486,327,412
GUYRA-SYN-000250,tapir,CAM-049,2024-12-26,919,479,373,222
GUYRA-SYN-000251,tapir,CAM-031,2024-04-12,1389,902,336,493
GUYRA-SYN-000252,tapir,CAM-050,2024-07-17,1080,857,182,202
GUYRA-SYN-000253,anteater,CAM-009,2024-05-02,1313,984,290,383
GUYRA-SYN-000254,jaguar,CAM-046,2024-09-28,255,583,142,490
GUYRA-SYN-000255,puma,CAM-018,2024-08-17,301,895,146,213
GUYRA-SYN-000256,brocket_deer,CAM-023,2024-01-14,109,811,357,291
GUYRA-SYN-000257,puma,CAM-025,2024-02-12,459,57,263,150
GUYRA-SYN-000258,capybara,CAM-042,2024-06-26,299,281,119,246
GUYRA-SYN-000259,brocket_deer,CAM-045,2024-03-25,1444,960,329,415
GUYRA-SYN-000260,jaguar,CAM-006,2024-01-09,441,306,380,472
GUYRA-SYN-000261,anteater,CAM-034,2024-07-04,1589,590,221,254
GUYRA-SYN-000262,jaguar,CAM-004,2024-04-14,1308,936,132,156
GUYRA-SYN-000263,brocket_deer,CAM-039,2024-09-01,1294,1055,394,223
GUYRA-SYN-000264,capybara,CAM-010,2024-05-14,3,722,223,392
GUYRA-SYN-000265,brocket_deer,CAM-012,2024-11-22,175,1072,284,134
GUYRA-SYN-000266,anteater,CAM-035,2024-09-26,1039,41,299,340
GUYRA-SYN-000267,jaguar,CAM-041,2024-07-12,519,33,282,134
GUYRA-SYN-000268,tapir,CAM-016,2024-12-22,1286,212,495,397
GUYRA-SYN-000269,capybara,CAM-049,2024-06-05,90,721,379,273
GUYRA-SYN-000270,capybara,CAM-012,2024-11-15,1424,980,423,193
GUYRA-SYN-000271,puma,CAM-005,2024-12-25,937,75,250,203
GUYRA-SYN-000272,jaguar,CAM-013,2024-01-11,1911,635,363,303
GUYRA-SYN-000273,anteater,CAM-031,2024-05-02,1542,391,246,282
GUYRA-SYN-000274,jaguar,CAM-042,2024-06-09,254,753,323,304
GUYRA-SYN-000275,capybara,CAM-029,2024-07-11,382,1016,454,354
GUYRA-SYN-000276,tapir,CAM-034,2024-05-26,169,869,140,320
GUYRA-SYN-000277,anteater,CAM-012,2024-09-10,657,210,140,267
GUYRA-SYN-000278,capybara,CAM-019,2024-05-15,1234,872,185,453
GUYRA-SYN-000279,brocket_deer,CAM-023,2024-08-02,1488,722,414,322
GUYRA-SYN-000280,tapir,CAM-041,2024-01-03,1374,831,286,362
GUYRA-SYN-000281,capybara,CAM-044,2024-03-01,292,897,117,164
GUYRA-SYN-000282,jaguar,CAM-016,2024-11-12,741,784,390,116
GUYRA-SYN-000283,anteater,CAM-010,2024-11-15,759,761,327,490
GUYRA-SYN-000284,jaguar,CAM-037,2024-03-17,751,815,260,432
GUYRA-SYN-000285,tapir,CAM-016,2024-02-01,1506,381,355,365
GUYRA-SYN-000286,brocket_deer,CAM-036,2024-02-09,1587,533,460,328
GUYRA-SYN-000287,puma,CAM-040,2024-05-23,1876,1005,202,162
GUYRA-SYN-000288,puma,CAM-005,2024-08-06,1840,911,144,449
GUYRA-SYN-000289,tapir,CAM-043,2024-06-23,132,594,253,180
GUYRA-SYN-000290,capybara,CAM-046,2024-12-21,356,740,360,214
GUYRA-SYN-000291,jaguar,CAM-013,2024-03-08,1618,1011,113,284
GUYRA-SYN-000292,anteater,CAM-037,2024-06-15,1645,265,413,144
GUYRA-SYN-000293,jaguar,CAM-020,2024-07-23,1472,980,369,310
GUYRA-SYN-000294,brocket_deer,CAM-037,2024-02-05,649,151,330,338
GUYRA-SYN-000295,capybara,CAM-034,2024-06-05,1798,372,493,166
GUYRA-SYN-000296,brocket_deer,CAM-033,2024-01-27,254,1061,178,255
GUYRA-SYN-000297,puma,CAM-011,2024-06-23,461,708,365,245
GUYRA-SYN-000298,jaguar,CAM-017,2024-04-21,1128,562,164,420
GUYRA-SYN-000299,tapir,CAM-040,2024-09-03,1029,345,403,397
GUYRA-SYN-000300,puma,CAM-011,2024-11-20,1475,691,388,121
GUYRA-SYN-000301,jaguar,CAM-006,2024-01-21,1579,542,433,207
GUYRA-SYN-000302,anteater,CAM-027,2024-10-21,62,1019,421,379
GUYRA-SYN-000303,tapir,CAM-042,2024-05-16,501,831,252,332
GUYRA-SYN-000304,jaguar,CAM-045,2024-01-06,900,851,347,337
GUYRA-SYN-000305,puma,CAM-022,2024-10-05,640,653,475,276
GUYRA-SYN-000306,brocket_deer,CAM-009,2024-06-17,1150,217,263,223
GUYRA-SYN-000307,brocket_deer,CAM-008,2024-05-15,507,288,149,125
GUYRA-SYN-000308,tapir,CAM-025,2024-10-14,508,327,267,395
GUYRA-SYN-000309,capybara,CAM-021,2024-04-25,326,1020,363,339
GUYRA-SYN-000310,brocket_deer,CAM-020,2024-08-01,184,805,358,334
GUYRA-SYN-000311,puma,CAM-014,2024-10-12,99,103,244,353
GUYRA-SYN-000312,anteater,CAM-042,2024-11-16,585,16,155,320
GUYRA-SYN-000313,puma,CAM-017,2024-12-12,1564,825,287,123
GUYRA-SYN-000314,brocket_deer,CAM-004,2024-10-18,398,742,383,247
GUYRA-SYN-000315,jaguar,CAM-025,2024-09-15,1565,572,419,448
GUYRA-SYN-000316,anteater,CAM-008,2024-03-04,806,764,273,385
GUYRA-SYN-000317,tapir,CAM-049,2024-03-07,1233,1042,305,356
GUYRA-SYN-000318,jaguar,CAM-003,2024-01-05,1461,682,342,365
GUYRA-SYN-000319,brocket_deer,CAM-010,2024-10-17,286,671,413,263
GUYRA-SYN-000320,puma,CAM-026,2024-10-24,1725,612,403,272
GUYRA-SYN-000321,anteater,CAM-033,2024-09-16,1451,613,343,108
GUYRA-SYN-000322,tapir,CAM-022,2024-11-04,853,630,471,452
GUYRA-SYN-000323,capybara,CAM-002,2024-10-16,543,466,469,126
GUYRA-SYN-000324,anteater,CAM-031,2024-03-17,1288,778,175,448
GUYRA-SYN-000325,puma,CAM-003,2024-10-23,225,390,109,325
GUYRA-SYN-000326,tapir,CAM-027,2024-03-14,1414,417,310,356
GUYRA-SYN-000327,anteater,CAM-031,2024-12-24,127,282,365,206
GUYRA-SYN-000328,anteater,CAM-021,2024-11-16,1076,771,260,188
GUYRA-SYN-000329,brocket_deer,CAM-035,2024-06-18,725,541,412,347
GUYRA-SYN-000330,puma,CAM-016,2024-05-18,611,460,252,494
GUYRA-SYN-000331,tapir,CAM-046,2024-04-23,1443,1001,262,345
GUYRA-SYN-000332,tapir,CAM-036,2024-12-09,589,249,393,446
GUYRA-SYN-000333,anteater,CAM-025,2024-07-27,706,299,248,121
GUYRA-SYN-000334,tapir,CAM-046,2024-02-12,1892,905,435,231
GUYRA-SYN-000335,capybara,CAM-031,2024-04-07,1695,555,387,456
GUYRA-SYN-000336,tapir,CAM-009,2024-02-20,1517,490,224,125
GUYRA-SYN-000337,capybara,CAM-034,2024-04-21,476,107,151,311
GUYRA-SYN-000338,tapir,CAM-046,2024-08-04,1395,281,102,381
GUYRA-SYN-000339,puma,CAM-027,2024-11-16,977,408,487,247
GUYRA-SYN-000340,tapir,CAM-019,2024-11-02,1859,183,433,393
GUYRA-SYN-000341,puma,CAM-035,2024-12-24,1741,76,189,313
GUYRA-SYN-000342,puma,CAM-003,2024-07-26,1014,381,483,248
GUYRA-SYN-000343,jaguar,CAM-001,2024-05-19,1234,219,271,245
GUYRA-SYN-000344,brocket_deer,CAM-042,2024-09-17,1011,274,358,339
GUYRA-SYN-000345,tapir,CAM-013,2024-02-11,332,939,431,231
GUYRA-SYN-000346,capybara,CAM-012,2024-01-24,690,604,390,445
GUYRA-SYN-000347,puma,CAM-012,2024-10-28,1308,830,318,363
GUYRA-SYN-000348,tapir,CAM-006,2024-07-22,195,378,171,344
GUYRA-SYN-000349,tapir,CAM-016,2024-01-09,785,482,328,485
GUYRA-SYN-000350,tapir,CAM-022,2024-05-19,1480,23,233,434
GUYRA-SYN-000351,tapir,CAM-045,2024-04-02,1367,242,338,257
GUYRA-SYN-000352,puma,CAM-026,2024-11-17,1890,636,453,160
GUYRA-SYN-000353,capybara,CAM-019,2024-06-20,452,448,168,344
GUYRA-SYN-000354,puma,CAM-030,2024-12-20,765,851,459,381
GUYRA-SYN-000355,brocket_deer,CAM-049,2024-09-26,1360,447,490,226
