year,crop,yield_kg_ha,department,source
2020,Wheat,2299.0,Caazapa,synthetic (FAOSTAT API fallback)
2020,Wheat,2129.7,Concepcion,synthetic (FAOSTAT API fallback)
2020,Wheat,2890.3,Boqueron,synthetic (FAOSTAT API fallback)
2020,Sunflower,1922.3,Alto Parana,synthetic (FAOSTAT API fallback)
2020,Sunflower,1637.4,Itapua,synthetic (FAOSTAT API fallback)
2020,Sunflower,2330.9,Canindeyu,synthetic (FAOSTAT API fallback)
2020,Sunflower,1309.6,Caaguazu,synthetic (FAOSTAT API fallback)
2020,Sunflower,2075.5,San Pedro,synthetic (FAOSTAT API fallback)
2020,Sunflower,2065.5,Misiones,synthetic (FAOSTAT API fallback)
2020,Sunflower,1628.3,Amambay,synthetic (FAOSTAT API fallback)
2020,Sunflower,1792.6,Caazapa,synthetic (FAOSTAT API fallback)
2020,Sunflower,1289.4,Concepcion,synthetic (FAOSTAT API fallback)
2020,Sunflower,1360.8,Boqueron,synthetic (FAOSTAT API fallback)
2021,Soy,3284.5,Alto Parana,synthetic (FAOSTAT API fallback)
2021,Soy,2474.0,Itapua,synthetic (FAOSTAT API fallback)
2021,Soy,2418.4,Canindeyu,synthetic (FAOSTAT API fallback)
2021,Soy,3062.1,Caaguazu,synthetic (FAOSTAT API fallback)
2021,Soy,2941.4,San Pedro,synthetic (FAOSTAT API fallback)
2021,Soy,3028.6,Misiones,synthetic (FAOSTAT API fallback)
2021,Soy,2580.7,Amambay,synthetic (FAOSTAT API fallback)
2021,Soy,3710.4,Caazapa,synthetic (FAOSTAT API fallback)
2021,Soy,3466.2,Concepcion,synthetic (FAOSTAT API fallback)
2021,Soy,2403.4,Boqueron,synthetic (FAOSTAT API fallback)
2021,Maize,3415.1,Alto Parana,synthetic (FAOSTAT API fallback)
2021,Maize,5238.5,Itapua,synthetic (FAOSTAT API fallback)
2021,Maize,3450.0,Canindeyu,synthetic (FAOSTAT API fallback)
2021,Maize,5457.9,Caaguazu,synthetic (FAOSTAT API fallback)
2021,Maize,5182.6,San Pedro,synthetic (FAOSTAT API fallback)
2021,Maize,3533.5,Misiones,synthetic (FAOSTAT API fallback)
2021,Maize,4284.4,Amambay,synthetic (FAOSTAT API fallback)
2021,Maize,5604.6,Caazapa,synthetic (FAOSTAT API fallback)
2021,Maize,5677.8,Concepcion,synthetic (FAOSTAT API fallback)
2021,Maize,4711.9,Boqueron,synthetic (FAOSTAT API fallback)
2021,Wheat,3216.5,Alto Parana,synthetic (FAOSTAT API fallback)
2021,Wheat,3093.2,Itapua,synthetic (FAOSTAT API fallback)
2021,Wheat,3086.3,Canindeyu,synthetic (FAOSTAT API fallback)
2021,Wheat,3041.1,Caaguazu,synthetic (FAOSTAT API fallback)
2021,Wheat,1989.4,San Pedro,synthetic (FAOSTAT API fallback)
2021,Wheat,2445.5,Misiones,synthetic (FAOSTAT API fallback)
2021,Wheat,1844.5,Amambay,synthetic (FAOSTAT API fallback)
2021,Wheat,2057.2,Caazapa,synthetic (FAOSTAT API fallback)
2021,Wheat,2203.1,Concepcion,synthetic (FAOSTAT API fallback)
2021,Wheat,2980.1,Boqueron,synthetic (FAOSTAT API fallback)
2021,Sunflower,1701.6,Alto Parana,synthetic (FAOSTAT API fallback)
2021,Sunflower,1890.3,Itapua,synthetic (FAOSTAT API fallback)
2021,Sunflower,1771.5,Canindeyu,synthetic (FAOSTAT API fallback)
2021,Sunflower,2216.6,Caaguazu,synthetic (FAOSTAT API fallback)
2021,Sunflower,2110.7,San Pedro,synthetic (FAOSTAT API fallback)
2021,Sunflower,2315.0,Misiones,synthetic (FAOSTAT API fallback)
2021,Sunflower,1738.1,Amambay,synthetic (FAOSTAT API fallback)
2021,Sunflower,2308.8,Caazapa,synthetic (FAOSTAT API fallback)
2021,Sunflower,1625.9,Concepcion,synthetic (FAOSTAT API fallback)
2021,Sunflower,2099.3,Boqueron,synthetic (FAOSTAT API fallback)
2022,Soy,3325.7,Alto Parana,synthetic (FAOSTAT API fallback)
2022,Soy,3080.6,Itapua,synthetic (FAOSTAT API fallback)
2022,Soy,2433.5,Canindeyu,synthetic (FAOSTAT API fallback)
2022,Soy,3003.9,Caaguazu,synthetic (FAOSTAT API fallback)
2022,Soy,2249.7,San Pedro,synthetic (FAOSTAT API fallback)
2022,Soy,2531.7,Misiones,synthetic (FAOSTAT API fallback)
2022,Soy,3446.6,Amambay,synthetic (FAOSTAT API fallback)
2022,Soy,2936.3,Caazapa,synthetic (FAOSTAT API fallback)
2022,Soy,3472.0,Concepcion,synthetic (FAOSTAT API fallback)
2022,Soy,3478.0,Boqueron,synthetic (FAOSTAT API fallback)
2022,Maize,5515.1,Alto Parana,synthetic (FAOSTAT API fallback)
2022,Maize,5381.9,Itapua,synthetic (FAOSTAT API fallback)
2022,Maize,4180.4,Canindeyu,synthetic (FAOSTAT API fallback)
2022,Maize,5305.8,Caaguazu,synthetic (FAOSTAT API fallback)
2022,Maize,5155.4,San Pedro,synthetic (FAOSTAT API fallback)
2022,Maize,3979.1,Misiones,synthetic (FAOSTAT API fallback)
2022,Maize,3778.4,Amambay,synthetic (FAOSTAT API fallback)
2022,Maize,5683.9,Caazapa,synthetic (FAOSTAT API fallback)
2022,Maize,3844.0,Concepcion,synthetic (FAOSTAT API fallback)
2022,Maize,4923.2,Boqueron,synthetic (FAOSTAT API fallback)
2022,Wheat,2979.1,Alto Parana,synthetic (FAOSTAT API fallback)
2022,Wheat,2337.2,Itapua,synthetic (FAOSTAT API fallback)
2022,Wheat,2735.9,Canindeyu,synthetic (FAOSTAT API fallback)
2022,Wheat,2157.3,Caaguazu,synthetic (FAOSTAT API fallback)
2022,Wheat,1961.3,San Pedro,synthetic (FAOSTAT API fallback)
2022,Wheat,2847.9,Misiones,synthetic (FAOSTAT API fallback)
2022,Wheat,1966.5,Amambay,synthetic (FAOSTAT API fallback)
2022,Wheat,2807.2,Caazapa,synthetic (FAOSTAT API fallback)
2022,Wheat,2756.1,Concepcion,synthetic (FAOSTAT API fallback)
2022,Wheat,2705.6,Boqueron,synthetic (FAOSTAT API fallback)
2022,Sunflower,1717.6,Alto Parana,synthetic (FAOSTAT API fallback)
2022,Sunflower,1521.5,Itapua,synthetic (FAOSTAT API fallback)
2022,Sunflower,2078.6,Canindeyu,synthetic (FAOSTAT API fallback)
2022,Sunflower,1838.2,Caaguazu,synthetic (FAOSTAT API fallback)
2022,Sunflower,1390.6,San Pedro,synthetic (FAOSTAT API fallback)
2022,Sunflower,1438.8,Misiones,synthetic (FAOSTAT API fallback)
2022,Sunflower,1379.8,Amambay,synthetic (FAOSTAT API fallback)
2022,Sunflower,1770.2,Caazapa,synthetic (FAOSTAT API fallback)
2022,Sunflower,1694.1,Concepcion,synthetic (FAOSTAT API fallback)
2022,Sunflower,1346.0,Boqueron,synthetic (FAOSTAT API fallback)
2023,Soy,2194.1,Alto Parana,synthetic (FAOSTAT API fallback)
2023,Soy,2371.6,Itapua,synthetic (FAOSTAT API fallback)
2023,Soy,2256.5,Canindeyu,synthetic (FAOSTAT API fallback)
2023,Soy,3864.4,Caaguazu,synthetic (FAOSTAT API fallback)
2023,Soy,2587.4,San Pedro,synthetic (FAOSTAT API fallback)
2023,Soy,2135.1,Misiones,synthetic (FAOSTAT API fallback)
2023,Soy,2638.3,Amambay,synthetic (FAOSTAT API fallback)
2023,Soy,2893.6,Caazapa,synthetic (FAOSTAT API fallback)
2023,Soy,3826.7,Concepcion,synthetic (FAOSTAT API fallback)
2023,Soy,2947.9,Boqueron,synthetic (FAOSTAT API fallback)
2023,Maize,4190.3,Alto Parana,synthetic (FAOSTAT API fallback)
2023,Maize,3435.6,Itapua,synthetic (FAOSTAT API fallback)
2023,Maize,4875.6,Canindeyu,synthetic (FAOSTAT API fallback)
2023,Maize,4103.9,Caaguazu,synthetic (FAOSTAT API fallback)
2023,Maize,4726.9,San Pedro,synthetic (FAOSTAT API fallback)
2023,Maize,3749.7,Misiones,synthetic (FAOSTAT API fallback)
2023,Maize,4971.5,Amambay,synthetic (FAOSTAT API fallback)
2023,Maize,3591.5,Caazapa,synthetic (FAOSTAT API fallback)
2023,Maize,4842.1,Concepcion,synthetic (FAOSTAT API fallback)
2023,Maize,5464.6,Boqueron,synthetic (FAOSTAT API fallback)
2023,Wheat,2525.4,Alto Parana,synthetic (FAOSTAT API fallback)
2023,Wheat,2579.9,Itapua,synthetic (FAOSTAT API fallback)
2023,Wheat,2113.7,Canindeyu,synthetic (FAOSTAT API fallback)
2023,Wheat,3109.2,Caaguazu,synthetic (FAOSTAT API fallback)
2023,Wheat,2033.7,San Pedro,synthetic (FAOSTAT API fallback)
2023,Wheat,2792.4,Misiones,synthetic (FAOSTAT API fallback)
2023,Wheat,1936.4,Amambay,synthetic (FAOSTAT API fallback)
2023,Wheat,2777.3,Caazapa,synthetic (FAOSTAT API fallback)
2023,Wheat,2359.5,Concepcion,synthetic (FAOSTAT API fallback)
2023,Wheat,3114.1,Boqueron,synthetic (FAOSTAT API fallback)
2023,Sunflower,2064.1,Alto Parana,synthetic (FAOSTAT API fallback)
2023,Sunflower,1315.7,Itapua,synthetic (FAOSTAT API fallback)
2023,Sunflower,1387.2,Canindeyu,synthetic (FAOSTAT API fallback)
2023,Sunflower,1395.5,Caaguazu,synthetic (FAOSTAT API fallback)
2023,Sunflower,1372.7,San Pedro,synthetic (FAOSTAT API fallback)
2023,Sunflower,1371.2,Misiones,synthetic (FAOSTAT API fallback)
2023,Sunflower,1860.5,Amambay,synthetic (FAOSTAT API fallback)
2023,Sunflower,1444.1,Caazapa,synthetic (FAOSTAT API fallback)
2023,Sunflower,2276.1,Concepcion,synthetic (FAOSTAT API fallback)
2023,Sunflower,1876.9,Boqueron,synthetic (FAOSTAT API fallback)
